log_id,user_id,action,resource,timestamp,purpose_of_use,result
L0000001,U0010,READ,patient,2018-02-02 19:20:36,care,success
L0000002,U0021,READ,encounter,2025-01-30 04:42:15,research,success
L0000003,U0066,READ,patient,2020-01-23 18:29:42,governance,success
L0000004,U0026,READ,encounter,2022-07-10 00:48:32,care,success
L0000005,U0036,WRITE,condition,2020-11-15 10:02:41,governance,denied
L0000006,U0018,READ,condition,2023-03-10 10:04:27,population_health,success
L0000007,U0008,SCORE,medication,2018-02-03 16:18:05,population_health,success
L0000008,U0072,READ,outcome,2023-02-02 10:29:16,governance,success
L0000009,U0046,READ,condition,2025-02-19 19:25:32,care,success
L0000010,U0019,READ,model,2019-04-02 20:45:35,governance,success
L0000011,U0057,READ,model,2021-05-21 20:21:35,governance,success
L0000012,U0008,READ,observation,2024-01-18 01:05:44,governance,success
L0000013,U0060,READ,medication,2022-03-24 06:45:12,care,success
L0000014,U0006,READ,encounter,2023-10-29 17:46:42,care,success
L0000015,U0029,READ,medication,2020-10-01 17:57:48,research,success
L0000016,U0071,READ,patient,2020-09-01 21:50:54,governance,success
L0000017,U0013,READ,condition,2022-05-16 08:39:26,population_health,success
L0000018,U0018,WRITE,condition,2019-09-08 07:22:14,governance,success
L0000019,U0030,WRITE,observation,2021-08-17 08:17:43,research,success
L0000020,U0029,READ,model,2022-05-15 23:14:15,population_health,success
L0000021,U0048,WRITE,encounter,2022-04-13 22:21:16,research,success
L0000022,U0026,READ,observation,2025-09-19 23:31:46,research,success
L0000023,U0002,READ,model,2021-09-27 12:41:27,research,success
L0000024,U0093,READ,medication,2025-06-21 11:30:59,governance,success
L0000025,U0095,SCORE,patient,2020-06-10 17:50:52,care,success
L0000026,U0096,SCORE,consent,2021-09-10 21:14:10,governance,success
L0000027,U0016,WRITE,observation,2021-08-23 02:32:12,research,success
L0000028,U0023,READ,model,2025-04-03 22:13:28,governance,success
L0000029,U0017,READ,model,2020-03-22 14:43:18,research,success
L0000030,U0091,WRITE,medication,2019-11-19 20:10:29,governance,success
L0000031,U0080,READ,consent,2023-07-12 19:27:03,care,success
L0000032,U0014,WRITE,medication,2020-04-20 13:07:29,research,success
L0000033,U0047,READ,encounter,2022-09-10 00:49:35,research,success
L0000034,U0095,READ,condition,2023-02-27 13:12:13,research,success
L0000035,U0001,READ,observation,2023-08-25 15:37:28,care,success
L0000036,U0100,SCORE,consent,2023-11-29 17:27:25,population_health,success
L0000037,U0031,WRITE,condition,2019-10-22 03:10:16,care,success
L0000038,U0008,WRITE,observation,2024-11-15 10:27:59,research,success
L0000039,U0019,READ,medication,2024-08-18 06:47:17,care,success
L0000040,U0080,READ,condition,2020-07-04 16:30:00,governance,success
L0000041,U0098,READ,condition,2023-04-15 12:29:25,research,success
L0000042,U0082,READ,observation,2018-10-14 23:27:35,care,success
L0000043,U0080,READ,observation,2021-09-28 15:30:48,governance,success
L0000044,U0093,ADMIN,model,2020-05-16 14:10:37,population_health,success
L0000045,U0004,WRITE,condition,2025-08-14 22:49:27,care,success
L0000046,U0060,READ,encounter,2022-03-26 23:30:46,care,success
L0000047,U0058,READ,model,2022-03-10 13:35:26,governance,success
L0000048,U0028,WRITE,model,2022-01-24 07:26:12,population_health,success
L0000049,U0036,READ,observation,2024-12-27 12:21:22,governance,error
L0000050,U0021,READ,medication,2018-02-01 16:28:04,research,success
L0000051,U0067,SCORE,medication,2020-02-24 05:16:44,research,success
L0000052,U0056,READ,outcome,2020-04-22 05:32:04,governance,success
